originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1000,regionflow_1001,regionflow_1004,regionflow_1005,regionflow_1006,regionflow_1007,regionflow_1008,regionflow_1009,origin_iso,origin_name,destination_iso,destination_name,countryflow_1000,countryflow_1001,countryflow_1004,countryflow_1005,countryflow_1006,countryflow_1007,countryflow_1008,countryflow_1009
1,North East,1,North East,0,0,0,0,0,0,0,0,29,Northumberland & Tyne & Wear,29,Northumberland & Tyne & Wear,0,0,0,0,0,0,0,0
1,North East,1,North East,0,0,0,0,0,0,0,0,29,Northumberland & Tyne & Wear,37,Tees Valley & Durham,5949,770,499,1262,1615,769,685,349
1,North East,1,North East,0,0,0,0,0,0,0,0,37,Tees Valley & Durham,29,Northumberland & Tyne & Wear,6434,756,1165,1415,1571,668,567,292
1,North East,1,North East,0,0,0,0,0,0,0,0,37,Tees Valley & Durham,37,Tees Valley & Durham,0,0,0,0,0,0,0,0
1,North East,2,Yorkshire & The Humber,8728,732,1719,2612,1692,790,689,494,29,Northumberland & Tyne & Wear,11,East Yorkshire & Northern Lincolnshire,458,40,65,156,96,55,26,20
1,North East,2,Yorkshire & The Humber,8728,732,1719,2612,1692,790,689,494,29,Northumberland & Tyne & Wear,27,North Yorkshire,1112,64,190,381,214,99,72,92
1,North East,2,Yorkshire & The Humber,8728,732,1719,2612,1692,790,689,494,29,Northumberland & Tyne & Wear,35,South Yorkshire,660,33,168,228,146,35,33,17
1,North East,2,Yorkshire & The Humber,8728,732,1719,2612,1692,790,689,494,29,Northumberland & Tyne & Wear,40,West Yorkshire,1719,77,399,693,301,127,58,64
1,North East,2,Yorkshire & The Humber,8728,732,1719,2612,1692,790,689,494,37,Tees Valley & Durham,11,East Yorkshire & Northern Lincolnshire,456,47,81,105,80,47,64,32
1,North East,2,Yorkshire & The Humber,8728,732,1719,2612,1692,790,689,494,37,Tees Valley & Durham,27,North Yorkshire,2226,313,286,398,440,264,325,200
1,North East,2,Yorkshire & The Humber,8728,732,1719,2612,1692,790,689,494,37,Tees Valley & Durham,35,South Yorkshire,553,41,150,167,108,38,29,20
1,North East,2,Yorkshire & The Humber,8728,732,1719,2612,1692,790,689,494,37,Tees Valley & Durham,40,West Yorkshire,1544,117,380,484,307,125,82,49
1,North East,3,East Midlands,2597,252,387,708,525,263,246,216,29,Northumberland & Tyne & Wear,6,Derbyshire & Nottinghamshire,668,48,78,196,162,57,70,57
1,North East,3,East Midlands,2597,252,387,708,525,263,246,216,29,Northumberland & Tyne & Wear,23,Leicestershire Rutland & Northamptonshire,445,56,70,122,97,41,36,23
1,North East,3,East Midlands,2597,252,387,708,525,263,246,216,29,Northumberland & Tyne & Wear,24,Lincolnshire,269,41,33,75,43,29,24,24
1,North East,3,East Midlands,2597,252,387,708,525,263,246,216,37,Tees Valley & Durham,6,Derbyshire & Nottinghamshire,591,53,104,162,97,74,56,45
1,North East,3,East Midlands,2597,252,387,708,525,263,246,216,37,Tees Valley & Durham,23,Leicestershire Rutland & Northamptonshire,374,36,62,108,74,37,27,30
1,North East,3,East Midlands,2597,252,387,708,525,263,246,216,37,Tees Valley & Durham,24,Lincolnshire,250,18,40,45,52,25,33,37
1,North East,4,East of England,2287,272,213,732,449,242,205,174,29,Northumberland & Tyne & Wear,1,Bedfordshire & Hertfordshire,364,44,15,135,79,33,29,29
1,North East,4,East of England,2287,272,213,732,449,242,205,174,29,Northumberland & Tyne & Wear,9,East Anglia,698,72,89,189,175,70,57,46
1,North East,4,East of England,2287,272,213,732,449,242,205,174,29,Northumberland & Tyne & Wear,13,Essex,182,20,15,70,26,13,22,16
1,North East,4,East of England,2287,272,213,732,449,242,205,174,37,Tees Valley & Durham,1,Bedfordshire & Hertfordshire,298,34,22,109,44,38,26,25
1,North East,4,East of England,2287,272,213,732,449,242,205,174,37,Tees Valley & Durham,9,East Anglia,548,74,59,174,87,64,52,38
1,North East,4,East of England,2287,272,213,732,449,242,205,174,37,Tees Valley & Durham,13,Essex,197,28,13,55,38,24,19,20
1,North East,5,London,4602,295,336,1995,1347,316,176,137,29,Northumberland & Tyne & Wear,19,Inner London - East,997,38,60,426,348,55,46,24
1,North East,5,London,4602,295,336,1995,1347,316,176,137,29,Northumberland & Tyne & Wear,20,Inner London - West,694,20,62,334,186,34,35,23
1,North East,5,London,4602,295,336,1995,1347,316,176,137,29,Northumberland & Tyne & Wear,30,Outer London - East & North East,233,31,9,58,87,29,11,8
1,North East,5,London,4602,295,336,1995,1347,316,176,137,29,Northumberland & Tyne & Wear,31,Outer London - South,202,11,7,76,72,18,4,14
1,North East,5,London,4602,295,336,1995,1347,316,176,137,29,Northumberland & Tyne & Wear,32,Outer London - West & North West,518,60,32,157,184,46,21,18
1,North East,5,London,4602,295,336,1995,1347,316,176,137,37,Tees Valley & Durham,19,Inner London - East,692,33,62,369,168,28,18,14
1,North East,5,London,4602,295,336,1995,1347,316,176,137,37,Tees Valley & Durham,20,Inner London - West,505,15,45,292,98,27,13,15
1,North East,5,London,4602,295,336,1995,1347,316,176,137,37,Tees Valley & Durham,30,Outer London - East & North East,207,29,14,72,46,31,10,5
1,North East,5,London,4602,295,336,1995,1347,316,176,137,37,Tees Valley & Durham,31,Outer London - South,203,25,13,70,61,20,8,6
1,North East,5,London,4602,295,336,1995,1347,316,176,137,37,Tees Valley & Durham,32,Outer London - West & North West,351,33,32,141,97,28,10,10
1,North East,6,South East,3218,340,272,1024,774,319,266,223,29,Northumberland & Tyne & Wear,2,Berkshire Buckinghamshire & Oxfordshire,664,82,54,222,167,64,42,33
1,North East,6,South East,3218,340,272,1024,774,319,266,223,29,Northumberland & Tyne & Wear,16,Hampshire & Isle of Wight,364,47,32,81,96,45,41,22
1,North East,6,South East,3218,340,272,1024,774,319,266,223,29,Northumberland & Tyne & Wear,21,Kent,236,29,12,77,52,31,24,11
1,North East,6,South East,3218,340,272,1024,774,319,266,223,29,Northumberland & Tyne & Wear,36,Surrey East & West Sussex,466,31,39,138,133,48,31,46
1,North East,6,South East,3218,340,272,1024,774,319,266,223,37,Tees Valley & Durham,2,Berkshire Buckinghamshire & Oxfordshire,554,61,65,200,124,36,30,38
1,North East,6,South East,3218,340,272,1024,774,319,266,223,37,Tees Valley & Durham,16,Hampshire & Isle of Wight,296,35,23,81,79,33,25,20
1,North East,6,South East,3218,340,272,1024,774,319,266,223,37,Tees Valley & Durham,21,Kent,214,23,19,73,30,21,31,17
1,North East,6,South East,3218,340,272,1024,774,319,266,223,37,Tees Valley & Durham,36,Surrey East & West Sussex,424,32,28,152,93,41,42,36
1,North East,7,South West,2006,215,195,574,483,198,170,171,29,Northumberland & Tyne & Wear,4,Cornwall & Isles of Scilly,73,6,6,18,19,8,7,9
1,North East,7,South West,2006,215,195,574,483,198,170,171,29,Northumberland & Tyne & Wear,7,Devon,221,23,15,62,57,26,16,22
1,North East,7,South West,2006,215,195,574,483,198,170,171,29,Northumberland & Tyne & Wear,8,Dorset & Somerset,191,21,15,54,45,16,18,22
1,North East,7,South West,2006,215,195,574,483,198,170,171,29,Northumberland & Tyne & Wear,14,Gloucestershire Wiltshire & Bristol-Bath area,556,51,55,166,150,40,46,48
1,North East,7,South West,2006,215,195,574,483,198,170,171,37,Tees Valley & Durham,4,Cornwall & Isles of Scilly,128,19,16,29,22,16,11,15
1,North East,7,South West,2006,215,195,574,483,198,170,171,37,Tees Valley & Durham,7,Devon,178,18,17,48,41,15,26,13
